count,n,ngram,label_1,label_2,label_3
21,5,fingers and toes,,,
8177,1,effusion,,,
8162,3,"a,b",,,
8161,1,round,,,
8160,1,four,,,
8154,1,stenosis,,,
8150,1,more,,,
8134,3,the presence,,,
8068,1,optic,,,
8026,1,study,,,
8002,3,the same,,,
7984,3,chest x,,,
2026,1,sarcoma,,,
7982,1,heterogeneous,,,
21,5,involving the proximal,,,
7975,1,anti,,,
7974,1,loss,,,
1722,1,infiltrative,,,
7963,1,pancreatic,abdomen,,
7957,1,than,,,
7950,3,on day,,,
7947,1,endoscopic,endoscopy,,
7916,1,layer,,,
7915,1,femoral,,,
7915,1,proliferation,,,
7914,3,enhanced ct,,,
7913,3,note the,,,
7906,1,bladder,,,
7898,1,volume,,,
7893,1,thin,,,
7891,3,old male,,,
7876,1,joint,,,
1665,1,ductal,,,
21,5,showed a soft,,,
7777,1,decreased,,,
7776,1,presented,,,
7729,3,the abdomen,,,
7726,1,emission,,,
7725,1,gland,,,
7704,1,injection,,,
7688,3,eosin stain,,,
7664,1,swelling,,,
7654,3,course of,,,
7652,3,can be,,,
7648,3,around the,,,
7647,1,graft,,,
7639,1,reduction,,,
7621,1,end,,,
7597,1,15,,,
7597,1,iliac,,,
21,5,first-degree atrioventricular,,,
7584,1,prior,,,
7583,1,valve,,,
7570,3,as well,,,
7562,3,days after,,,
7556,1,portal,abdomen,,
7553,1,picture,,,
1581,3,inflammatory infiltrate,,,
7522,1,atypical,,,
7514,1,under,,,
7506,1,portion,,,
7488,1,catheter,,,
7487,1,nodes,,,
7481,1,bowel,,,
7460,3,side of,,,
21,5,de novo heterozygous,,,
7439,1,cortical,,,
7437,1,air,,,
7434,1,compared,,,
7431,1,pelvic,pelvis,,
21,5,and white arrows,,,
7414,1,light,,,
7406,3,analysis of,,,
7404,3,revealed a,,,
7382,1,coherence,,,
7374,3,well as,,,
21,5,showing multiple lesions,,,
7361,1,mediastinal,,,
7336,1,proband,,,
7335,3,and right,,,
7313,1,scale,,,
7309,1,main,,,
21,7,"c, d, e, f",,,
7288,1,removal,,,
1440,1,melanoma,,,
7248,1,clear,,,
7246,1,activity,,,
7222,3,aspect of,,,
7216,1,component,,,
7208,1,matter,,,
7193,1,fistula,,,
7188,1,residual,,,
21,5,the avm nidus,,,
7178,1,family,,,
7162,3,of both,,,
7146,1,onset,,,
7142,1,structure,,,
7125,1,nasal,,,
7119,1,11,,,
7113,1,sequencing,,,
7109,1,these,,,
7106,3,resolution of,,,
7104,1,our,,,
1378,1,invading,,,
21,5,antoni b areas,,,
21,7,0 cm in size,,,
7084,1,bar,,,
7063,1,18,,,
7062,1,plane,,,
7021,3,a-d,,,
7007,3,the proximal,,,
7006,1,used,,,
7002,1,cerebellar,head,,
6998,1,cancer,,,
6997,1,single,,,
6974,3,mass with,,,
6963,1,maxillary,,,
6960,1,data,,,
6952,1,structures,,,
21,5,radiopaque foreign body,,,
6946,3,and e,,,
21,5,the brain lesion,,,
6944,3,by a,,,
6942,1,optical,,,
6935,1,arteries,,,
6903,1,visible,,,
6902,3,was observed,,,
6899,1,cardiac,,,
6895,1,occlusion,,,
6879,1,mid,,,
6872,1,operation,,,
6865,3,after surgery,,,
21,5,showed the patient,,,
6856,1,woman,,,
6842,3,along the,,,
6840,1,chronic,,,
6837,1,man,,,
6833,1,sequences,,,
6824,3,images showing,,,
6823,1,knee,knee,,
1373,1,dysplasia,,,
6802,3,weighted mri,,,
6801,1,occipital,head,,
6799,1,including,,,
6791,1,later,,,
6789,3,signal intensity,,,
21,5,anterior mediastinal tumor,,,
6771,1,absence,,,
6767,3,associated with,,,
6767,3,hematoxylin-eosin,h&e,,
6748,1,reduced,,,
21,5,the bilateral middle,,,
6732,1,ii,,,
6731,3,yellow arrow,,,
6724,3,spinal cord,axial_region,,
6714,1,anteroposterior,,,
21,5,it is possible,,,
6697,1,recovery,,,
6693,1,hematoma,,,
6688,1,acid,,,
6679,1,eosinophilic,,,
6678,3,over the,,,
6665,3,pet/ct,pet,ct,
6662,1,demonstrate,,,
6658,3,to be,,,
6642,1,new,,,
1156,3,renal cell,,,
6636,3,carotid artery,,,
6634,3,right side,,,
6616,3,time of,,,
6612,1,canal,,,
6611,3,was performed,,,
6608,1,atrophy,,,
6594,1,indicating,,,
6591,1,suggestive,,,
6582,3,absence of,,,
6570,1,chemotherapy,,,
6569,1,external,,,
6567,3,results of,,,
6565,1,glass,,,
6561,3,"b, c",,,
6552,3,coherence tomography,,,
6550,3,a) the,,,
6548,1,sided,,,
6545,1,plain,,,
6535,1,field,,,
1137,3,cell infiltration,,,
21,7,"ct, computed tomography; fdg",,,
6509,1,formation,,,
6508,1,window,,,
6506,1,asterisk,,,
6493,1,change,,,
6492,3,the initial,,,
6478,3,image shows,,,
6475,3,lymph nodes,,,
6466,1,serum,,,
6458,3,with contrast,,,
6449,1,number,,,
6441,1,chamber,,,
6436,3,are shown,,,
6435,1,19,,,
6427,1,flap,,,
6426,1,macular,,,
6422,3,with no,,,
6421,1,doppler,doppler,,
6417,1,representative,,,
6408,3,involving the,,,
6388,3,lesions in,,,
6388,1,gross,,,
6382,3,observed in,,,
6381,3,changes in,,,
6370,1,slightly,,,
6357,1,ground,,,
6356,3,optical coherence,,,
6341,1,moderate,,,
6335,1,while,,,
6334,1,fusion,,,
21,5,yellow arrow in,,,
6310,3,the time,,,
6308,1,100x,,,
6299,3,emission tomography,,,
6288,1,subcutaneous,,,
6281,1,30,,,
6277,1,maximum,,,
6265,3,old man,,,
6249,1,abscess,,,
6238,3,suggestive of,,,
6219,3,is seen,,,
6214,3,there was,,,
6214,3,old female,,,
6212,1,inversion,,,
6199,1,procedure,,,
6187,1,lumen,,,
6186,1,other,,,
6180,3,lesion with,,,
6179,1,parietal,head,,
6167,1,deep,,,
6165,1,thrombus,,,
6163,1,echocardiography,cardiac_view,ultrasound,thorax
6162,3,old woman,,,
21,5,orthotopic liver transplantation,,,
6146,1,hospital,,,
6139,1,branch,,,
6138,3,view showing,,,
6134,3,indicated by,,,
1093,1,leukemia,,,
6124,1,composed,,,
6120,1,squamous,pathology,,
6118,3,treatment with,,,
6108,1,eyes,,,
6107,1,confirmed,,,
6104,3,in this,,,
6098,3,a small,,,
6094,3,after treatment,,,
6094,1,week,,,
6082,3,coronary artery,,,
6075,1,14,,,
6073,1,material,,,
6069,1,thickness,,,
21,5,flair axial images,,,
6064,3,brain mri,,,
6061,1,growth,,,
6033,1,lumbar,abdominopelvic_region,,
6025,3,ct image,ct,,
6025,1,syndrome,,,
6016,1,have,,,
6014,1,oral,,,
6011,3,immunohistochemical staining,,,
6010,3,photograph of,,,
6005,3,e stain,,,
5997,1,thick,,,
21,5,pseudoaneurysm (white arrow,,,
5983,1,dense,,,
5980,1,microscopy,,,
21,5,"os, left eye",,,
5976,1,administration,,,
5965,1,heart,,,
5938,1,positron,,,
5938,1,histopathology,,,
5934,3,white matter,head,,
5932,1,neoplastic,,,
5923,1,stroma,,,
5888,3,the lateral,,,
5886,1,index,,,
5881,1,based,,,
5877,3,left side,,,
5872,3,indicates the,,,
5865,3,prior to,,,
5858,3,patient 1,,,
5858,3,cells were,,,
5858,3,and lateral,,,
5839,1,dorsal,,,
5834,1,400x,,,
5834,1,adrenal,abdomen,,
5833,1,fibrous,,,
5828,1,cases,,,
5823,1,extension,,,
21,5,showing a focal,,,
5813,1,mum,,,
21,5,vats lung biopsy,,,
5779,1,approximately,,,
5776,1,circle,,,
5776,3,section of,,,
5774,1,evaluation,,,
5767,1,descending,,,
5765,1,scattered,,,
5760,1,lobes,,,
5754,3,ct of,,,
5745,1,positivity,,,
5740,1,disc,,,
5740,1,hand,hand,,
5738,3,6 months,,,
5731,3,lower lobe,,,
5731,3,on admission,,,
5726,1,mg,,,
5726,1,parenchyma,,,
5714,3,3 months,,,
5708,3,as a,,,
5705,3,h and,,,
5704,3,composed of,,,
5703,1,cranial,head,,
5701,1,200x,,,
5701,1,compression,,,
5695,3,positron emission,pet,,
5695,1,numerous,,,
5678,3,cells are,,,
21,5,showing lack of,,,
5672,3,showing an,,,
21,5,"images (c, d",,,
5650,1,intra,,,
5644,3,tomography of,,,
5642,1,filled,,,
5636,3,wall of,,,
5636,1,40x,,,
5625,1,grade,,,
5616,1,improvement,,,
5601,1,filling,,,
5591,3,red arrows,,,
5586,3,showed the,,,
5585,1,notes,,,
21,5,anterolateral thigh flap,,,
992,1,hepatocellular,,,
5538,1,40,,,
5537,1,apical,,,
5532,1,placed,,,
5528,1,pathology,,,
5526,1,facial,,,
966,1,invaded,,,
21,5,proximal small bowel,,,
5498,1,oblique,oblique,,
5497,1,his,,,
21,5,showed significant improvement,,,
5487,1,near,,,
5484,1,point,,,
5484,1,ap,,,
21,5,fetus acardius amorphus,,,
5479,1,recurrence,,,
5474,3,months of,,,
5469,3,the superior,,,
21,7,2 cm x 2,,,
5467,1,vessel,,,
5466,1,n,,,
5465,3,blue arrow,,,
5451,3,shown in,,,
5446,1,free,,,
5446,3,weeks after,,,
5446,1,superficial,,,
5438,3,the proband,,,
5435,1,baseline,,,
5435,1,root,,,
5433,3,axial t2,,,
5412,1,placement,,,
5412,3,diagnosis of,,,
5400,1,50,,,
21,5,c and f,,,
5397,1,lines,,,
5397,3,of tumor,,,
5368,1,containing,,,
5366,3,5 cm,,,
5363,3,size of,,,
5359,1,lungs,,,
5356,3,the lung,,,
5348,3,portion of,,,
5328,1,enlargement,,,
5327,1,base,,,
5322,3,cells in,,,
5317,1,top,,,
5309,3,right lower,,,
5294,1,open,,,
5291,1,ring,,,
5289,1,involvement,,,
5285,1,only,,,
5282,1,regions,,,
5281,1,ihc,ihc,,
5274,1,dose,,,
5263,1,atrial,,,
5254,3,the resected,,,
5083,1,malignant,malignant,,
5252,1,whole,,,
5243,1,corneal,,,
21,5,"temporal lobe, and",,,
5231,3,pulmonary artery,,,
5228,1,vena,,,
5219,1,removed,,,
5213,3,of an,,,
5200,1,represents,,,
914,3,nuclear atypia,,,
21,5,intraoperative findings.  (b,,,
5172,1,represent,,,
5172,3,patient 2,,,
5169,1,smooth,,,
5165,1,pressure,,,
5165,3,demonstrating a,,,
5160,3,in size,,,
5158,1,system,,,
5146,1,typical,,,
5145,3,right upper,,,
5144,1,process,,,
5134,1,tube,,,
5132,1,location,,,
5115,1,bile,,,
5115,1,cortex,head,,
5115,3,radiograph of,,,
5113,1,progression,,,
5105,1,m,,,
5103,3,and d,,,
5093,1,signs,,,
21,5,showing complete excision,,,
5087,3,of treatment,,,
1290,3,the metastatic,,,
5073,1,timeline,chart,,
5066,3,the bilateral,,,
5055,1,collection,,,
5055,1,needle,,,
5042,1,thickened,,,
5042,3,c) the,,,
5033,3,upper lobe,,,
21,5,paired-end reads,,,
5022,1,necrotic,,,
5021,1,affected,,,
5020,1,masses,,,
5015,1,her,,,
3773,3,the neck,,,
4996,3,black arrows,,,
4973,1,visit,,,
4968,1,photomicrograph,pathology,,
4966,3,lobe of,,,
4966,1,injury,,,
4966,3,c and,,,
4966,1,antibody,,,
4959,3,staining for,,,
4957,3,the inferior,,,
4955,3,internal carotid,,,
4940,3,segment of,,,
4934,1,abundant,,,
4930,3,indicate the,,,
4928,3,three-dimensional,3d,,
4925,1,stomach,abdomen,,
4923,1,pancreas,abdomen,,
868,1,anaplastic,,,
4914,3,demonstrating the,,,
4904,3,of this,,,
4902,3,is a,,,
4898,1,mixed,,,
4898,1,surrounded,,,
4880,3,showed that,,,
4879,3,inversion recovery,ir,,
4878,1,iii,,,
4869,1,few,,,
4868,3,weighted imaging,,,
4862,1,similar,,,
4859,1,projection,,,
4850,1,diagnosed,,,
4849,1,mandibular,dental_view,head,
4847,1,calcification,,,
4840,1,alveolar,,,
4836,3,arrows indicate,,,
4831,1,13,,,
4821,1,dotted,,,
4814,1,most,,,
4807,1,hip,hip,,
4798,1,double,,,
4797,1,intraoral,dental_view,head,
4784,3,enhanced computed,,,
4778,3,findings in,,,
4772,3,left lower,,,
4772,1,test,,,
4767,1,increase,,,
4766,1,25,,,
842,1,dysplastic,,,
4743,1,hypointense,,,
4737,1,gray,,,
4734,3,the middle,,,
809,1,undifferentiated,,,
4732,3,be seen,,,
4726,1,mesenteric,abdomen,,
21,5,and the cyst,,,
4726,3,cells and,,,
4723,1,tract,,,
4722,3,cell carcinoma,,,
4722,1,when,,,
4715,1,pd,,,
4692,1,embolization,,,
4691,1,16,,,
21,5,and the control,,,
4686,3,axial view,axial,,
4686,1,final,,,
4685,1,effect,,,
4670,1,24,,,
4664,1,dissection,,,
21,5,thick white arrows,,,
4650,3,well-defined,,,
755,1,hcc,,,
4629,1,about,,,
4625,1,cut,,,
4625,1,previous,,,
4624,3,from a,,,
4614,1,bottom,,,
4609,1,consolidation,,,
4608,1,out,,,
4606,1,related,,,
4605,1,cava,,,
4602,3,surrounded by,,,
4600,3,show the,,,
4598,3,cm x,,,
4596,3,cm in,,,
4590,3,arrow indicates,,,
4589,3,axial ct,,,
4587,1,hyperintensity,,,
21,5,shown by arrow,,,
4571,1,values,,,
4544,1,samples,,,
4544,3,pleural effusion,,,
4543,3,images show,,,
4540,1,suggesting,,,
21,5,flexor carpi ulnaris,,,
4536,3,case 3,,,
4532,1,k,,,
4517,1,dna,,,
4516,1,splenic,,,
4510,1,angle,,,
4505,1,face,,,
4500,1,implant,,,
4500,3,loss of,,,
4500,3,post-operative,,,
4497,1,dilatation,,,
4489,1,tooth,dental_view,head,
4486,1,points,,,
4486,3,surface of,,,
4478,3,cerebral artery,head,,
4466,1,sample,,,
4462,1,early,,,
4454,3,to a,,,
4452,3,lateral view,sagittal,,
4452,1,cycles,,,
4442,1,arising,,,
4440,3,located in,,,
4440,3,which is,,,
4440,1,capsule,,,
4433,3,vena cava,,,
4431,1,histology,,,
1032,3,metastatic lesions,,,
21,7,ultrasonography of the right,,,
4428,3,the spinal,,,
4423,1,intravenous,,,
4420,1,mitral,,,
4418,1,been,,,
4408,3,removal of,,,
4405,3,compared to,,,
4403,1,j,,,
4398,1,improved,,,
4396,1,strong,,,
4390,1,ecg,ekg,,
21,5,also known as,,,
4380,1,iv,,,
4377,1,medium,,,
6864,5,of the abdomen,,,
4370,3,left anterior,,,
4362,3,enhancement of,,,
4357,1,variant,,,
4351,1,six,,,
4350,1,patchy,,,
